id	topic_id	thread_id	type	formula
q_1	A.301	4235721	title	\infty
q_2	A.301	4235721	body	A
q_3	A.301	4235721	body	m\times n
q_4	A.301	4235721	body	p=1
q_5	A.301	4235721	body	q=\infty
q_6	A.301	4235721	body	\|A\|_2=\sqrt{\rho(A^TA)}
q_7	A.301	4235721	body	\begin{equation*} \|A\|_2\leq \sqrt{\|A\|_1 \|A\|_{\infty}} \end{equation*}
q_8	A.301	4235721	body	\begin{align*} \frac{1}{\sqrt{n}}\|A\|_{\infty}\leq \|A\|_2\leq\sqrt{m}\|A\|_{\infty}\\ \frac{1}{\sqrt{m}}\|A\|_{1}\leq \|A\|_2\leq\sqrt{n}\|A\|_{1} \end{align*}
q_9	A.302	4233786	title	n
q_10	A.302	4233786	body	z=\sqrt[n]{s}e^{\frac{i\varphi}{n}}
q_11	A.302	4233786	body	w=se^{i{\phi}}
q_12	A.302	4233786	body	s\ge 0
q_13	A.302	4233786	body	\phi \in \mathbb{R}
q_14	A.302	4233786	body	z^n=w
q_15	A.302	4233786	body	\mathbb{C}
q_16	A.302	4233786	body	n
q_17	A.302	4233786	body	n
q_18	A.302	4233786	body	n
q_19	A.302	4233786	body	n
q_20	A.303	4232208	body	x , y
q_21	A.303	4232208	body	[x,y] = x
q_22	A.303	4232208	body	K
q_23	A.303	4232208	body	K
q_24	A.303	4232208	body	:\ V \ X \ V  \rightarrow V
q_25	A.303	4232208	body	a)
q_26	A.303	4232208	body	[x,x]=0
q_27	A.303	4232208	body	x\in V
q_28	A.303	4232208	body	b)
q_29	A.303	4232208	body	[x,[y,z]]+[y,[z,x]]+[z,[x,y]]=0
q_30	A.303	4232208	body	x,y,z \in V
q_31	A.303	4232208	body	[x,x]=[y,y]=0
q_32	A.303	4232208	body	[x,y]=-[x,y]
q_33	A.303	4232208	body	[x,y]
q_34	A.303	4232208	body	[x,y]=x
q_35	A.303	4232208	body	[y,x]=-x
q_36	A.304	4226422	title	2
q_37	A.304	4226422	body	[T_X^{0,1}, T_X^{0,1}] \subset T_X^{0,1}
q_38	A.304	4226422	body	X
q_39	A.304	4226422	body	X
q_40	A.304	4226422	body	T_X^{0,1}
q_41	A.304	4226422	body	1
q_42	A.304	4226422	body	[-,-]
q_43	A.304	4226422	body	T_X^{0,1}
q_44	A.304	4226422	body	X
q_45	A.305	4223841	title	\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^N\frac{1}{2^r}\right\rfloor
q_46	A.305	4223841	body	\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^N\frac{1}{2^r}\right\rfloor
q_47	A.305	4223841	body	1
q_48	A.305	4223841	body	0
q_49	A.305	4223841	body	\frac{a}{1-r}
q_50	A.305	4223841	body	\lim_{N \to \infty}
q_51	A.306	4220206	body	 B = \gamma + \sum_p \left\{ \log\left( 1 - \frac 1p\right) + \frac 1p\right\}
q_52	A.307	4217271	body	n
q_53	A.307	4217271	body	t
q_54	A.307	4217271	body	a^t\equiv1\pmod n
q_55	A.307	4217271	body	a
q_56	A.307	4217271	body	\gcd(a,n)=1
q_57	A.307	4217271	body	\lambda(n)
q_58	A.307	4217271	body	\lambda(n)=\max\{\operatorname{ord}_n(a):\gcd(a,n)=1\}
q_59	A.307	4217271	body	x
q_60	A.307	4217271	body	n
q_61	A.307	4217271	body	\operatorname{ord}_n(x)=\lambda(n)
q_62	A.308	4214335	body	\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx
q_63	A.308	4214335	body	\zeta(s)=\frac{\Gamma(1-s)}{2\pi i}\int_C \frac{(-z)^s}{e^z-1}\frac{dz}{z}
q_64	A.308	4214335	body	\int_C \frac{(-z)^s}{e^z-1}\frac{dz}{z}
q_65	A.308	4214335	body	(e^{i\pi s}-e^{-i\pi s})\int_0^\infty\frac{x^{s-1}}{e^x-1}dx
q_66	A.308	4214335	body	\mbox{Re}(s)\gt 1
q_67	A.308	4214335	body	s
q_68	A.308	4214335	body	s=1
q_69	A.308	4214335	body	C
q_70	A.308	4214335	body	+\infty 
q_71	A.308	4214335	body	\epsilon
q_72	A.308	4214335	body	x
q_73	A.308	4214335	body	\delta
q_74	A.308	4214335	body	+\infty
q_75	A.308	4214335	body	\epsilon
q_76	A.308	4214335	body	\epsilon\rightarrow 0
q_77	A.308	4214335	body	\delta \rightarrow 0
q_78	A.308	4214335	body	[0,\infty)
q_79	A.308	4214335	body	\mbox{Re}(s)\leq 1
q_80	A.308	4214335	body	C
